type,from,to,Work at home,Study at home,"Drive a private car, truck or van","Drive a company car, truck or van","Passenger in a car, truck, van or company bus",Public bus,School bus,Train,Bicycle,Walk or jog,Ferry,Other,Total
Work,137800,137800,177,0,9,0,0,0,0,0,0,15,0,0,204
Work,137900,137900,66,0,18,0,0,0,0,0,0,9,0,0,99
Work,138000,138000,129,0,12,15,0,0,0,0,0,9,0,0,168
Work,138100,138100,162,0,15,0,0,0,0,0,0,15,0,0,198
Work,138200,138200,135,0,6,6,0,0,0,0,0,6,0,0,153
Work,138300,138300,138,0,18,15,0,0,0,0,0,6,0,0,180
Work,138400,138400,213,0,6,0,0,0,0,0,0,0,0,0,228
Work,138500,138500,204,0,48,9,0,6,0,0,0,195,0,0,465
Work,138600,138600,60,0,6,0,0,0,0,0,0,0,0,0,72
Work,138700,138700,180,0,15,9,0,0,0,0,0,18,0,0,228
Work,138800,138800,0,0,0,0,0,0,0,0,0,0,0,0,9
